englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
AVATAR;AVATAR;two-actions;CONJURO;10;CONCENTRAR MANIPULAR POLIMORFÍA;divina;;;;;;;;1 minuto;"Te transformas en un avatar de tu dios, adoptando una forma de batalla Enorme. En esta forma de batalla puedes tener manos, y puedes llevar a cabo acciones de manipular. Puedes Disipar este conjuro.
Obtienes las siguientes estadísticas y aptitudes sea cual sea la forma de batalla del dios que adoptas: • CA = 25 + tu nivel. Ignora el penalizador a las pruebas de armadura y la reducción de la Velocidad.
• 30 Puntos de Golpe temporales.
• Visión en la oscuridad.
• Uno o más ataques específicos de la forma de batalla de tu dios, que son los únicos ataques con los que puedes dar Golpes. Obtienes el rango entrenado en ellos. Tu modificador al ataque es +33, y utilizas el daño indicado. Los ataques cuerpo a cuerpo están basados en la Fuerza (por ejemplo, a efectos del estado debilitado) si no tienen el rasgo sutil, y todos tus ataques a distancia están basados en la destreza.
• Un modificador +9 a las pruebas de Atletismo, a menos que el tuyo propio sea superior. Obtienes también las aptitudes específicas indicadas a continuación para tu dios: • Abadar Velocidad 50 pies (15 m), excavar 30 pies (9 m), inmune a inmovilizado; A distancia [one-action] ballesta (incremento de rango de distancia 120 pies [36 m], recarga 1), Daño 6d10+3 perforante.
• Asmodeo Velocidad 70 pies (21 m), volar 70 pies (21 m); Cuerpo a cuerpo [one-action] maza (alcance 15 pies [4,5 m]), Daño 6d10+6 contundente; A distancia [one-action] fuego infernal (incremento de rango de distancia 120 pies [36 m]), Daño 6d6+3 fuego.
• Calistria Velocidad 30 pies (9 m), volar 70 pies (21 m); Cuerpo a cuerpo [one-action] látigo (alcance 20 pies [6 m], desarmar, no letal, sutil), Daño 6d4+6 cortante; A distancia [one-action] aguijón placentero (incremento de rango de distancia 60 pies [18 m]), Daño 6d6+ veneno.
• Cayden Cailean Velocidad 70 pies (21 m), volar 70 pies (21 m), ignora terreno difícil y terreno difícil mayor; Cuerpo a cuerpo [one-action] espada ropera (alcance 15 pies [4,5 m], letal 3d8), Daño 6d6+6 perforante; A distancia [one-action] salpicadura de cerveza (incremento de rango de distancia 120 pies [36 m]), Daño 6d6+3 veneno.
• Desna Velocidad 30 pies (9 m), volar 70 pies (21 m); Cuerpo a cuerpo [one-action] cuchillo de estrella (ágil, alcance 15 pies [4,5 m], arrojadizo 60 pies [18 m], letal 3d4, plata, sutil), Daño 6d4+6 perforante; A distancia [one-action] rayo de luna (incremento de rango de distancia 120 pies [36 m], plata), Daño 6d6+3 fuego.
• Erastil Velocidad 60 pies (18 m), volar 70 pies (21 m), ignora el terreno difícil y el terreno difícil mayor; A distancia [one-action] arco largo (incremento de rango de distancia 150 pies [45 m], letal 3d8), Daño 6d8+3 perforante.
• Farasma Velocidad 70 pies (21 m), volar 70 pies (21 m); Cuerpo a cuerpo [one-action] daga (ágil, alcance 15 pies [4,5 m], arrojadiza 40 pies [12 m], sutil), Daño 6d6+6 cortante; A distancia [one-action] explosión espiral (incremento de rango de distancia 120 pies [36 m], sólo daña a los muertos vivientes), Daño 6d8+3 vitalidad.
• Gorum Velocidad 70 pies (21 m), inmune a inmovilizado; Cuerpo a cuerpo [one-action] mandoble (alcance 15 pies [4,5 m], versátil Per), Daño 6d12+6 cortante.
• Gozreh sin Velocidad terrestre, volar 70 pies (21 m), nadar 70 pies (21 m), ignora el terreno difícil y el terreno difícil mayor; Cuerpo a cuerpo [one-action] olas (alcance 15 pies [4,5 m], arrojadiza 20 pies [6 m], empujar), Daño 6d8+6 contundente; A distancia [one-action] viento (incremento de rango de distancia 120 pies [36 m], versátil electricidad), Daño 6d6+3 contundente.
• Iomedae Velocidad 70 pies (21 m), volar 70 pies (21 m); escudo (Dureza 15, no puede resultar dañado); Cuerpo a cuerpo [one-action] espada larga (alcance 15 pies [4,5 m] versátil Per), Daño 6d8+6 cortante.
• Irori Velocidad 80 pies (24 m), volar 80 pies (24 m); Cuerpo a cuerpo [one-action] golpe sin ataduras (ágil, alcance 15 pies [4,5 m], sutil, versátil Per o Cor), Daño 6d8+6 contundente; A distancia [one-action] golpe de viento incremento de rango de distancia 60 pies [18 m]), Daño 6d4+6 contundente.
• Lamashtu Velocidad 30 pies (9 m), volar 70 pies (21 m); Cuerpo a cuerpo [one-action] alfanje (alcance 15 pies [4,5 m], vigoroso), Daño 6d10+6 cortante; A distancia [one-action] aguas de Lamashtu (incremento de rango de distancia 120 pies [36 m], Daño 6d6+3 veneno.
• Nethys Velocidad 70 pies (21 m), volar 70 pies (21 m); A distancia [one-action] magia en bruto (incremento de rango de distancia 120 pies [36 m], versátil electricidad, frío o fuego), Daño 6d6 fuerza.
• Norgorber Velocidad 70 pies (21 m), volar 70 pies (21 m), ignorar el terreno difícil y el terreno difícil mayor; Cuerpo a cuerpo [one-action] espada corta (ágil, alcance 15 pies [4,5 m], sutil, versátil Cor), Daño 6d6+6 perforante; A distancia [one-action] lanzamiento de dedo negro (incremento de rango de distancia 120 pies [36 m]), Daño 6d6+3 veneno.
• Rovagug Velocidad 50 pies (15 m), excavar 30 pies (9 m), inmune a inmovilizado; Cuerpo a cuerpo [one-action] mandíbulas (alcance 15 pies [4,5 m]), Daño 6d12+6 perforante; Cuerpo a cuerpo [one-action] pierna (ágil, alcance 15 pies [4,5 m], versátil Per), Daño 6d8+6 contundente.
• Sarenrae Velocidad 30 pies [9 m], volar 70 pies [21 m]; Cuerpo a cuerpo [one-action] cimitarra (alcance 15 pies [4,5 m], no letal, vigorosa), Daño 6d6+6 cortante; A distancia [one-action] llama eterna (incremento de rango de distancia 120 pies [36 m], no letal), Daño 6d6+3 fuego.
• Shelyn Velocidad 70 pies [21 m], volar 70 pies [21 m], ignora el terreno difícil y el terreno difícil mayor; Cuerpo a cuerpo [one-action] guja (alcance 20 pies [6 m], letal 3d8, no letal), Daño 6d8+6 cortante; A distancia [one-action] melodía de la belleza interior (incremento de rango de distancia 120 pies [36 m], no letal), Daño 6d6+3 sónico.
• Torag Velocidad 50 pies [15 m], excavar 30 pies [9 m], inmune a inmovilizado; escudo (Dureza 15, no puede resultar dañado); Cuerpo a cuerpo [one-action] martillo de guerra (alcance 15 pies [4,5 m], empujar), Daño 6d8+6 contundente.
• Urgathoa Velocidad 70 pies [21 m], volar 70 pies [21 m]; Cuerpo a cuerpo [one-action] guadaña (alcance 15 pies [4,5 m], derribo, letal 3d10), Daño 6d10+6 cortante; A distancia [one-action] plaga pálida (incremento de rango de distancia 120 pies [36 m]), Daño 6d6+3 vacío.
• Zon-Kuthon Velocidad 70 pies (21 m), volar 70 pies (21 m), ignora el terreno difícil y el terreno difícil mayor; Cuerpo a cuerpo [one-action] cadena armada (alcance 15 pies [4,5 m], derribo, desarmar), Daño 6d8+6 cortante; A distancia [one-action] dolor de medianoche (incremento de rango de distancia 120 pies [36 m], mental, no letal), Daño 6d6+3 mental.";
STOKE THE HEART;AVIVAR EL CORAZÓN;one-action;TRUCO;1;POCO-COMÚN BRUJO CONCENTRAR EMOCIÓN MALEFICIO TRUCO;;;;;Patrón Guardián de la llama de la fe 30 pies (9 m); 1 criatura;;;mantenido hasta 1 minuto;Tu patrón llena de fervor a una criatura, potenciando sus golpes. El objetivo obtiene un bonificador +2 por estatus a las tiradas de daño.;Potenciado (+2) El bonificador por estatus al daño se incrementa en 1.
BANE;AZOTE;two-actions;CONJURO;1;AURA CONCENTRAR MANIPULAR MENTAL;divina, ocultista;;;;;;emanación de 10 pies (3 m);Voluntad; 1 minuto;Llenas de dudas la mente de tus enemigos. Los enemigos en el área han de tener éxito en una salvación de Voluntad o sufrir un penalizador -1 por estatus a las tiradas de ataque mientras están en la misma. Una vez por asalto en turnos subsiguientes, puedes Mantener el conjuro para incrementar en 10 pies (3 m) el radio de la emanación y obligar a los enemigos en el área que aún no habían sido afectados a llevar a cabo una nueva tirada de salvación. Azote puede contrarrestar a bendecir.;
VITALITY LASH;AZOTE DE VITALIDAD;two-actions;TRUCO;1;CONCENTRAR MANIPULAR TRUCO VITALIDAD;divina, primigenia;;;;30 pies (9 m); 1 criatura que, o bien es;;un muerto viviente, o por lo demás dispone de curación por el vacío Fortaleza;;Destruyes la esencia corrupta del objetivo con energía procedente de la Forja de la Creación. Le infliges 2d6 daño por vitalidad con una salvación básica de Fortaleza. Si la criatura falla críticamente la salvación, también queda debilitada 1 hasta el inicio de tu siguiente turno.;Potenciado (+1) El daño se incrementa en 1d6.
SOOTHING BALLAD;BALADA TRANQUILIZADORA;two-actions;FOCO;7;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN FOCO;;;;;30 pies (9 m); tú y hasta 9 aliados;;;;"CURACIÓN MANIPULAR MENTAL
Recurres a tu musa para tranquilizar a tus aliados. Elige uno de los siguientes 3 efectos: • El conjuro trata de contrarrestar los efectos de miedo sobre los objetivos.
• El conjuro trata de contrarrestar los efectos que imponen parálisis a los objetivos.
• El conjuro restablece 7d8 Puntos de Golpe a los objetivos.";Potenciado (+1) Cuando se usa para curar, balada tranquilizadora restablece 1d8 Puntos de Golpe adicionales.
MYSTIC BEACON;BALIZA MÍSTICA;one-action;FOCO;4;POCO-COMÚN CLÉRIGO FOCO MANIPULAR;;;;;30 pies (9 m); 1 criatura voluntaria;;;hasta el inicio de tu siguiente turno;El siguiente conjuro dañino o curativo que el objetivo lanza antes del inicio de tu siguiente turno inflige daño o restablece Puntos de Golpe como si estuviera potenciado 1 rango más que el suyo actual. Esto sólo se aplica al daño o a la curación iniciales cuando se lanza el conjuro, no a los efectos continuados. Por lo demás, funciona como en su rango actual. Una vez el objetivo lanza el conjuro, baliza mística se acaba.;
VITRAL BEACON;BALIZA VITAL;;CONJURO;4;CONCENTRAR CURACIÓN MANIPULAR VITALIDAD;divina, primigenia;1 minuto;;;;;;;hasta tus siguientes preparativos diarios;La vitalidad irradia de ti, permitiendo a otros suplicarte y obtener curación. Una vez por asalto, o bien tú o bien un aliado tuyo podéis usar una acción de Interactuar para suplicar e imponerte las manos a fin de recuperar Puntos de Golpe. Cada vez que la baliza cura a alguien, su fuerza disminuye. Restablece 4d10 Puntos de Golpe a la primera criatura, 4d8 a la segunda, 4d6 a la tercera y 4d4 a la cuarta, tras lo cual el conjuro se acaba. Tan sólo puedes tener una baliza vital activa en un momento dado.;Potenciado (+1) La baliza restablece un dado adicional de PG cada vez que cura, utilizando el tamaño de dado normal para dicho paso.
FLAME BARRIER;BARRERA DE LLAMA;reaction;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO;;;;Un efecto infligiría daño por fuego a ti o a un aliado dentro del alcance.;60 pies (18 m); una criatura que sufriría;;;;"daño por fuego debido al efecto desencadenante.
Desvías rápidamente las llamas que se acercan. El objetivo obtiene resistencia 15 al fuego contra el efecto desencadenante.";Potenciado (+2) La resistencia se incrementa en 5.
BLESS;BENDICIÓN;two-actions;CONJURO;1;AURA CONCENTRAR MANIPULAR MENTAL;divina, ocultista;;;;;;emanación de 15 pies (4,5 m);;1 minuto;"Las bendiciones del más allá ayudan a tus compañeros a pegar con acierto. Tus aliados y tu obtenéis un bonificador +1 por estatus a las tiradas de ataque mientras permanecéis en el interior de la emanación.
Una vez por asalto en turnos subsiguientes, puedes Mantener el conjuro para incrementar en 10 pies (3 m) el radio de la emanación. Bendecir puede contrarrestar a perdición.";
HEALER'S BLESSING;BENDICIÓN DEL SANADOR;one-action;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO;;;;;30 pies (9 m); 1 criatura viva voluntaria.;;;1 minuto;"Tus palabras bendicen a una criatura con una conexión potenciada con la energía vital. Cuando el objetivo recupera Puntos de Golpe gracias a un conjuro curativo de vitalidad, recupera 2 Puntos de Golpe adicionales.
El objetivo recupera Puntos de Golpe adicionales gracias a bendición del sanador sólo la primera vez que recupera PG gracias a un conjuro curativo determinado, por lo que uno que cura a la criatura repetidamente a lo largo de un tiempo sólo restablece Puntos de Golpes adicionales una vez, la primera que se utiliza.";Potenciado (+1) La curación adicional se incrementa en 2 PG.
FIREBALL;BOLA DE FUEGO;two-actions;CONJURO;3;CONCENTRAR FUEGO MANIPULAR;arcana, primigenia;;;;500 pies (150 m);; explosión de 20 pies (6 m);Reflejos básica;;Una rugiente explosión de fuego explota en un lugar designado por ti, infligiendo 6d6 daño por fuego.;Potenciado (+1) El daño se incrementa en 2d6.
NATURE'S BOUNTY;BOTÍN DE LA NATURALEZA;one-action;FOCO;4;POCO-COMÚN CLÉRIGO FOCO MANIPULAR PLANTA VITALIDAD;;;;;;;;;;"Requisitos Tener una mano libre.
Una fruta o verdura cruda a tu elección, del tamaño de la palma de una mano, aparece en tu mano abierta. Una criatura puede consumir la comida mediante una acción de Interactuar para recuperar 3d10+12 puntos de golpe y quedar nutrida como si hubiera consumido una comida. Si no se consume, la comida se convierte en polvo al cabo de 1 minuto.";Potenciado (+1) Los Puntos de Golpe restablecidos se incrementan en 6.
IMPALING BRIARS;BREZAL EMPALADOR;three-actions;FOCO;8;POCO-COMÚN CONCENTRAR DRUIDA FOCO MADERA MANIPULAR PLANTA;;;;;;;el terreno en el interior de una emanación de 100 pies (30 m);;mantenido hasta 1 minuto;"El terreno en el interior del área se transforma en una masa de peligrosas zarzas que atacan y obstaculizan a tus enemigos. Cuando Lanzas el conjuro y la primera vez que lo Mantienes cada turno en turnos subsiguientes, selecciona uno de los siguientes efectos para que tenga lugar en el área.
• Enmarañar Los brezos se arraciman alrededor de tus enemigos, intentando retenerles. Un enemigo dentro del área (o volando como máximo a 20 pies [6 m] por encima de la misma) tiene que hacer una salvación de Reflejos. Con un fallo, sufre un penalizador -10 pies (3 m) por circunstancia a todas sus Velocidades durante 1 asalto, y con un fallo crítico queda inmovilizado durante 1 asalto a menos que Huya.
• Muro Un muro de espinos aparece en el área, con una duración de 1 asalto. El muro es terreno difícil mayor en lugar de terreno difícil.
• Obstaculizar Los brezos giran y se entremezclan, convirtiendo toda el área en terreno difícil.
Además, una vez por asalto puedes ordenar a los brezos que empalen a cualquier objetivo en el área (o volando como máximo a 20 pies [6 m] por encima de la misma) a quien puedes ver utilizando una sola acción, que tiene los rasgos concentrar y manipular. Haz una tirada de ataque de conjuros. Con un éxito, el objetivo sufre 10d6 daño perforante y un penalizador -10 pies (3 m) por circunstancia a todas sus Velocidades durante 1 asalto; con un fallo crítico queda inmovilizado durante 1 asalto a menos que Huya.";
LUCKY BREAK;BUENA RACHA;reaction;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO FORTUNA;;;;Fallas, pero no críticamente, una tirada de salvación.;;;;;;"Repite la tirada de salvación y utiliza el mejor de ambos resultados.
A continuación quedas temporalmente inmune durante 10 minutos.";
AIR BUBBLE;BURBUJA DE AIRE;reaction;CONJURO;1;AIRE CONCENTRAR;arcana, divina, primigenia;;;Una criatura dentro del alcance entra en un entorno en el que no puede respirar.;60 pies (18 m); la criatura desencadenante;;;1 minuto;Una burbuja de aire puro aparece alrededor de la cabeza del objetivo, permitiéndole respirar con normalidad. El efecto se acaba en cuanto el objetivo vuelve a un entorno en el que puede respirar de forma natural.;
PEACEFUL BUBBLE;BURBUJA TRANQUILA;;CONJURO;4;POCO-COMÚN CONCENTRAR MANIPULAR;arcana, ocultista;10 minutos;;;toque;; explosión de 100 pies (30 m);;24 horas;"Una concha opaca de runas flotantes e iridiscentes cubre el área, creando una burbuja. Puedes elegir que la explosión sea más pequeña, en incrementos de 10 pies (3 m). Las runas no impiden el paso, pero quienes están en el interior de la burbuja no pueden percibir a los del exterior, y viceversa. Los efectos de detección y de escudriñamiento están igualmente bloqueados.
Las criaturas que duermen en el interior de la burbuja son inmunes a los sueños enviados por los conjuros. Quienes duermen 8 horas reducen en 2 en lugar de en 1 su estado condenado.";
COZY CABIN;CABAÑA ACOGEDORA;;CONJURO;3;CONCENTRAR MADERA MANIPULAR;arcana, ocultista;1 minuto;;;30 pies (9 m);;;;12 horas;"Das forma a una cabaña de 20 pies (6 m) de lado y 10 pies (3 m) de altura. Esta cabaña tiene el rasgo estructura y las mismas restricciones que los objetos mágicos que crean estructuras. Las paredes de la cabaña son sencillas y de madera, con ventanitas cuadradas de vidrio y está provista de una puerta de madera. La puerta no incluye cerradura, pero tiene un cierre al que se puede aplicar una.
El interior contiene tres catres, un orinal y una fogata pequeña que alberga un fuego mágico. El interior está iluminado por una pequeña luz mágica que puedes encender o apagar a voluntad utilizando una acción de Mantener. El clima del interior de la cabaña es cómodo y permite que las criaturas de dentro resistan la mayor parte de condiciones climatológicas hostiles, pero un calor o un frío increíbles, tormentas poderosas y vientos de fuerza huracán o superior la destruyen. Otras criaturas pueden entrar y salir libremente de la cabaña sin dañarla, pero si eres tú quien sale, el conjuro se acaba. Puedes Disipar el conjuro.";
TALKING CORPSE;CADÁVER PARLANTE;;CONJURO;4;POCO-COMÚN CONCENTRAR MANIPULAR;divina, ocultista;10 minutos;;;toque; 1 cadáver;;Voluntad; 10 minutos;"Concedes al cadáver objetivo una semblanza de vida, que utiliza para responder a las 3 preguntas que se le formulan. Este conjuro recupera los recuerdos latentes del cuerpo físico en lugar de convocar el alma del fallecido, por lo que el cadáver tiene que estar bastante intacto para que el conjuro funcione. Cuanto más daño ha sufrido el cadáver, más inexactas o heterogéneas son sus respuestas, y tiene que disponer de una garganta y una boca para hablar. Si alguien ha lanzado previamente este conjuro sobre el cadáver durante la última semana, el conjuro falla automáticamente. El cadáver puede hacer una salvación de Voluntad para resistirse a responder las preguntas utilizando las estadísticas de la criatura original en el momento de su muerte, con los siguientes efectos.
Éxito crítico El objetivo puede mentir o negarse a contestar, y su espíritu te persigue durante 24 horas, irritándote y haciendo que seas incapaz de descansar durante ese tiempo.
Éxito El objetivo puede proporcionar información falsa o negarse a contestar a tus preguntas.
Fallo El objetivo tiene que responder con la verdad, pero sus respuestas pueden ser breves, crípticas y repetitivas. Sigue pudiendo engañarte o intentando hacer que pase el tiempo para que se acabe la duración del conjuro antes de que puedas formular todas tus preguntas.
Fallo crítico Igual que fallo, pero las respuestas del objetivo son más directas y menos repetitivas, aunque siguen siendo crípticas. Sufre un penalizador -2 por estatus a las pruebas de Engaño para engañarte o confundirte.";
